independentRank,learningStage,userTier,masteryTarget,priorityScore,canonicalForm,displayForm,unitType,independentStudy,formOfCanonical,formRelationType,parentLexicalUnitId,sourceBookCount,sourceFamilyCount,qualityStatus,lexicalUnitId,prerequisiteLexicalUnitIds,formCandidates
5534,S1_core_automatic,A1,active_automatic,603,democrat,democrat,lexeme_candidate,True,,,,15,9,unreviewed,lu:f8b12638c23ca57007,,[]
5535,S1_core_automatic,A1,active_automatic,603,determined,determined,lexeme_candidate,True,,,,10,9,conflicting_variants,lu:6b7463dd1b420227a7,,"[{""canonicalForm"":""determine"",""confidence"":""medium"",""lexicalUnitId"":""lu:ff6ce33f6d60a7d2da"",""relationType"":""past_or_participle""}]"
5536,S1_core_automatic,A1,active_automatic,603,endurance,endurance,lexeme_candidate,True,,,,20,9,unreviewed,lu:445be05f14443e51bf,,[]
5537,S1_core_automatic,A1,active_automatic,603,ethics,ethics,lexeme_candidate,True,,,,14,9,unreviewed,lu:364ead9652f88e4427,,"[{""canonicalForm"":""ethic"",""confidence"":""medium"",""lexicalUnitId"":""lu:2911c09cdde63b109e"",""relationType"":""plural_or_3sg""}]"
5538,S1_core_automatic,A1,active_automatic,603,judgment,judgment,lexeme_candidate,True,,,,16,7,unreviewed,lu:84c8c317bf3ada9588,,[]
5539,S1_core_automatic,A1,active_automatic,603,multitude,multitude,lexeme_candidate,True,,,,17,9,unreviewed,lu:3cebe5da767d943590,,[]
5540,S1_core_automatic,A1,active_automatic,603,mutter,mutter,lexeme_candidate,True,,,,18,9,unreviewed,lu:0cffe29bb150f50452,,[]
5541,S1_core_automatic,A1,active_automatic,603,nonetheless,nonetheless,lexeme_candidate,True,,,,15,9,unreviewed,lu:4d38ea0c55a8602e4a,,[]
5542,S1_core_automatic,A1,active_automatic,603,opaque,opaque,lexeme_candidate,True,,,,21,9,unreviewed,lu:b5548e154115feff8c,,[]
5543,S1_core_automatic,A1,active_automatic,603,persecute,persecute,lexeme_candidate,True,,,,15,9,unreviewed,lu:ad0038cd9b6826b404,,[]
5544,S1_core_automatic,A1,active_automatic,603,poke,poke,lexeme_candidate,True,,,,15,9,unreviewed,lu:5acd7008b4ce91f345,,[]
5545,S1_core_automatic,A1,active_automatic,603,propagate,propagate,lexeme_candidate,True,,,,23,9,unreviewed,lu:269e03634801b2c984,,[]
5546,S1_core_automatic,A1,active_automatic,603,quietly,quietly,lexeme_candidate,True,,,,12,9,conflicting_variants,lu:b058f3ccc66cadcf7f,,[]
5547,S1_core_automatic,A1,active_automatic,603,reef,reef,lexeme_candidate,True,,,,12,9,unreviewed,lu:d459b250d9964b289f,,[]
5548,S1_core_automatic,A1,active_automatic,603,satire,satire,lexeme_candidate,True,,,,17,9,unreviewed,lu:c08a249529d4065e25,,[]
5549,S1_core_automatic,A1,active_automatic,603,segregate,segregate,lexeme_candidate,True,,,,15,9,unreviewed,lu:0eaee3df39ef1f594a,,[]
5550,S1_core_automatic,A1,active_automatic,603,sewage,sewage,lexeme_candidate,True,,,,18,9,unreviewed,lu:1bc9f981c6d12c14d0,,[]
5551,S1_core_automatic,A1,active_automatic,603,slump,slump,lexeme_candidate,True,,,,20,10,detail_crosslink_quarantined,lu:ccc6eb20e24bb54aee,,[]
5552,S1_core_automatic,A1,active_automatic,603,stipulate,stipulate,lexeme_candidate,True,,,,23,9,conflicting_variants,lu:3e753cbd9bb3a80cf1,,[]
5553,S1_core_automatic,A1,active_automatic,603,telegraph,telegraph,lexeme_candidate,True,,,,17,9,unreviewed,lu:11cd1d1459b793f790,,[]
5554,S1_core_automatic,A1,active_automatic,603,threshold,threshold,lexeme_candidate,True,,,,19,9,unreviewed,lu:7a8034656edbffbbb4,,[]
5555,S1_core_automatic,A1,active_automatic,603,tract,tract,lexeme_candidate,True,,,,15,9,unreviewed,lu:db12caa62cbc199cf9,,[]
5556,S1_core_automatic,A1,active_automatic,603,zip,zip,lexeme_candidate,True,,,,12,9,unreviewed,lu:b5de0eff001d4ab9ac,,[]
5557,S1_core_automatic,A1,active_automatic,602,ashore,ashore,lexeme_candidate,True,,,,12,10,unreviewed,lu:419ac8a0a5c000606a,,[]
5558,S1_core_automatic,A1,active_automatic,602,bait,bait,lexeme_candidate,True,,,,19,8,unreviewed,lu:38a8498d7cb1477bd9,,[]
5559,S1_core_automatic,A1,active_automatic,602,cooker,cooker,lexeme_candidate,True,,,,12,10,unreviewed,lu:98d34fe0bc22012da6,,[]
5560,S1_core_automatic,A1,active_automatic,602,cordial,cordial,lexeme_candidate,True,,,,18,10,unreviewed,lu:7e174ab75a05f0590b,,[]
5561,S1_core_automatic,A1,active_automatic,602,curly,curly,lexeme_candidate,True,,,,13,8,unreviewed,lu:f9e9b5dc245e5c3d40,,[]
5562,S1_core_automatic,A1,active_automatic,602,detrimental,detrimental,lexeme_candidate,True,,,,18,10,unreviewed,lu:792194d60c3a7347fe,,[]
5563,S1_core_automatic,A1,active_automatic,602,disgusting,disgusting,lexeme_candidate,True,,,,11,10,unreviewed,lu:b93d42de7608fa377f,,"[{""canonicalForm"":""disgust"",""confidence"":""medium"",""lexicalUnitId"":""lu:a7da66c5d237d6c15a"",""relationType"":""present_participle""}]"
5564,S1_core_automatic,A1,active_automatic,602,extravagant,extravagant,lexeme_candidate,True,,,,23,8,unreviewed,lu:a76c4da05c05ab98ad,,[]
5565,S1_core_automatic,A1,active_automatic,602,eyesight,eyesight,lexeme_candidate,True,,,,19,10,conflicting_variants,lu:8706b3b3f893541803,,[]
5566,S1_core_automatic,A1,active_automatic,602,flavor,flavor,lexeme_candidate,True,,,,17,8,unreviewed,lu:73252da8a3991c8530,,[]
5567,S1_core_automatic,A1,active_automatic,602,maid,maid,lexeme_candidate,True,,,,19,10,conflicting_variants,lu:e8421defc9f74c5576,,[]
5568,S1_core_automatic,A1,active_automatic,602,mixed,mixed,lexeme_candidate,True,,,,9,8,conflicting_variants,lu:1326142067e4ab995c,,"[{""canonicalForm"":""mix"",""confidence"":""medium"",""lexicalUnitId"":""lu:f2d12db7183f0c3544"",""relationType"":""past_or_participle""}]"
5569,S1_core_automatic,A1,active_automatic,602,oneself,oneself,lexeme_candidate,True,,,,13,11,detail_crosslink_quarantined,lu:e30c99f13676016cca,,[]
5570,S1_core_automatic,A1,active_automatic,602,outlaw,outlaw,lexeme_candidate,True,,,,12,10,unreviewed,lu:7737da529cb00d4c9b,,[]
5571,S1_core_automatic,A1,active_automatic,602,perpetual,perpetual,lexeme_candidate,True,,,,23,8,unreviewed,lu:b0181b5b8d227b8715,,[]
5572,S1_core_automatic,A1,active_automatic,602,persuasive,persuasive,lexeme_candidate,True,,,,18,10,conflicting_variants,lu:91ff5cf53aa6233324,,[]
5573,S1_core_automatic,A1,active_automatic,602,tenth,tenth,lexeme_candidate,True,,,,10,8,unreviewed,lu:c609e402941e52adf2,,[]
5574,S1_core_automatic,A1,active_automatic,601,astronomer,astronomer,lexeme_candidate,True,,,,15,9,unreviewed,lu:e0358b12c2637148ae,,[]
5575,S1_core_automatic,A1,active_automatic,601,authoritative,authoritative,lexeme_candidate,True,,,,16,9,unreviewed,lu:02086b5b70c9637c85,,[]
5576,S1_core_automatic,A1,active_automatic,601,bewilder,bewilder,lexeme_candidate,True,,,,20,9,unreviewed,lu:fdf346d8b26d3afb61,,[]
5577,S1_core_automatic,A1,active_automatic,601,bleak,bleak,lexeme_candidate,True,,,,20,9,unreviewed,lu:3fff1cfb2277bb3761,,[]
5578,S1_core_automatic,A1,active_automatic,601,blog,blog,lexeme_candidate,True,,,,10,9,unreviewed,lu:25f745c35938b5de88,,[]
5579,S1_core_automatic,A1,active_automatic,601,brow,brow,lexeme_candidate,True,,,,15,10,detail_crosslink_quarantined,lu:a4a5c53d529a19ca96,,[]
5580,S1_core_automatic,A1,active_automatic,601,criteria,criteria,lexeme_candidate,True,,,,13,9,unreviewed,lu:188c68fb6327a16417,,[]
5581,S1_core_automatic,A1,active_automatic,601,disposable,disposable,lexeme_candidate,True,,,,18,9,unreviewed,lu:d1a85b5fa4b208b0c4,,[]
5582,S1_core_automatic,A1,active_automatic,601,engagement,engagement,lexeme_candidate,True,,,,20,9,conflicting_variants,lu:a223572eca9ee50a58,,[]
5583,S1_core_automatic,A1,active_automatic,601,evade,evade,lexeme_candidate,True,,,,20,9,unreviewed,lu:48e63eb43fdb8593dd,,[]
5584,S1_core_automatic,A1,active_automatic,601,flashlight,flashlight,lexeme_candidate,True,,,,12,9,unreviewed,lu:eaf71eec98fbcf5f2c,,[]
5585,S1_core_automatic,A1,active_automatic,601,fringe,fringe,lexeme_candidate,True,,,,20,9,unreviewed,lu:2c4d244665c750ab7b,,[]
5586,S1_core_automatic,A1,active_automatic,601,groan,groan,lexeme_candidate,True,,,,19,10,detail_crosslink_quarantined,lu:dcf6188e8f14937fb8,,[]
5587,S1_core_automatic,A1,active_automatic,601,gut,gut,lexeme_candidate,True,,,,12,9,unreviewed,lu:5ec22f4c4bc60d0b49,,[]
5588,S1_core_automatic,A1,active_automatic,601,hop,hop,lexeme_candidate,True,,,,15,9,unreviewed,lu:39413ac8c9474db87e,,[]
5589,S1_core_automatic,A1,active_automatic,601,impetus,impetus,lexeme_candidate,True,,,,20,9,unreviewed,lu:7228a95c4ad783ea48,,[]
5590,S1_core_automatic,A1,active_automatic,601,landlady,landlady,lexeme_candidate,True,,,,18,9,unreviewed,lu:5c9187c7baa964a1c4,,[]
5591,S1_core_automatic,A1,active_automatic,601,levy,levy,lexeme_candidate,True,,,,21,10,detail_crosslink_quarantined,lu:01f223317e535dbefe,,[]
5592,S1_core_automatic,A1,active_automatic,601,lucrative,lucrative,lexeme_candidate,True,,,,20,9,unreviewed,lu:0ff3030aaf49778e66,,[]
5593,S1_core_automatic,A1,active_automatic,601,messy,messy,lexeme_candidate,True,,,,12,9,unreviewed,lu:1a5daff060fd41492f,,[]
5594,S1_core_automatic,A1,active_automatic,601,offense,offense,lexeme_candidate,True,,,,14,9,conflicting_variants,lu:8cf3edfeb8a02cc672,,[]
5595,S1_core_automatic,A1,active_automatic,601,paradigm,paradigm,lexeme_candidate,True,,,,20,9,unreviewed,lu:ec60666b665b2dc7e2,,[]
5596,S1_core_automatic,A1,active_automatic,601,parasite,parasite,lexeme_candidate,True,,,,16,9,unreviewed,lu:691227f279ad51e65c,,[]
5597,S1_core_automatic,A1,active_automatic,601,recite,recite,lexeme_candidate,True,,,,18,9,unreviewed,lu:51ebef0208c52d6fac,,[]
5598,S1_core_automatic,A1,active_automatic,601,redeem,redeem,lexeme_candidate,True,,,,20,9,conflicting_variants,lu:13b2aa762e1c096529,,[]
5599,S1_core_automatic,A1,active_automatic,601,ridicule,ridicule,lexeme_candidate,True,,,,16,9,unreviewed,lu:3125c723b47ad11500,,[]
5600,S1_core_automatic,A1,active_automatic,601,sixth,sixth,lexeme_candidate,True,,,,11,9,unreviewed,lu:5760d5285facfc57c2,,[]
5601,S1_core_automatic,A1,active_automatic,601,sob,sob,lexeme_candidate,True,,,,13,9,unreviewed,lu:b0485b8fe0df1bae27,,[]
5602,S1_core_automatic,A1,active_automatic,601,stairs,stairs,lexeme_candidate,True,,,,9,7,unreviewed,lu:984529066705da28d2,,"[{""canonicalForm"":""stair"",""confidence"":""medium"",""lexicalUnitId"":""lu:5670294acf8e4624a3"",""relationType"":""plural_or_3sg""}]"
5603,S1_core_automatic,A1,active_automatic,601,statistical,statistical,lexeme_candidate,True,,,,18,9,unreviewed,lu:6830d552bf708a32c4,,[]
5604,S1_core_automatic,A1,active_automatic,601,steward,steward,lexeme_candidate,True,,,,15,9,unreviewed,lu:6cc9e83d0a959db28a,,[]
5605,S1_core_automatic,A1,active_automatic,601,stool,stool,lexeme_candidate,True,,,,13,9,conflicting_variants,lu:0a166ea7f0945b5255,,[]
5606,S1_core_automatic,A1,active_automatic,601,supportive,supportive,lexeme_candidate,True,,,,18,9,unreviewed,lu:8156659cef6be5a576,,[]
5607,S1_core_automatic,A1,active_automatic,601,temperate,temperate,lexeme_candidate,True,,,,16,9,unreviewed,lu:8e69f8f904b68e8d3a,,[]
5608,S1_core_automatic,A1,active_automatic,601,terrestrial,terrestrial,lexeme_candidate,True,,,,18,9,unreviewed,lu:45429fadb78b7eb6f0,,[]
5609,S1_core_automatic,A1,active_automatic,601,trailer,trailer,lexeme_candidate,True,,,,11,9,unreviewed,lu:784b94bbbeb62b11de,,[]
5610,S1_core_automatic,A1,active_automatic,601,visualize,visualize,lexeme_candidate,True,,,,20,9,unreviewed,lu:8d642da9119d993196,,[]
5611,S1_core_automatic,A1,active_automatic,600,alloy,alloy,lexeme_candidate,True,,,,19,10,unreviewed,lu:dbeec265c3015a851c,,[]
5612,S1_core_automatic,A1,active_automatic,600,augment,augment,lexeme_candidate,True,,,,22,8,conflicting_variants,lu:7e00efffbcad45e669,,[]
5613,S1_core_automatic,A1,active_automatic,600,camouflage,camouflage,lexeme_candidate,True,,,,15,8,unreviewed,lu:beddfe2e0239df33f9,,[]
5614,S1_core_automatic,A1,active_automatic,600,captive,captive,lexeme_candidate,True,,,,18,8,unreviewed,lu:b2623d9cb09b970482,,[]
5615,S1_core_automatic,A1,active_automatic,600,criticise,criticise,lexeme_candidate,True,,,,17,8,unreviewed,lu:1e87d9144c9cb9ec15,,[]
5616,S1_core_automatic,A1,active_automatic,600,defense,defense,lexeme_candidate,True,,,,17,9,detail_crosslink_quarantined,lu:db3525923612f62ce7,,[]
5617,S1_core_automatic,A1,active_automatic,600,disappointing,disappointing,lexeme_candidate,True,,,,11,10,unreviewed,lu:8239f9f676baa21321,,"[{""canonicalForm"":""disappoint"",""confidence"":""medium"",""lexicalUnitId"":""lu:cf3562c3376ba03dac"",""relationType"":""present_participle""}]"
5618,S1_core_automatic,A1,active_automatic,600,hitherto,hitherto,lexeme_candidate,True,,,,21,9,detail_crosslink_quarantined,lu:b35d20dc545a834ee6,,[]
5619,S1_core_automatic,A1,active_automatic,600,improvise,improvise,lexeme_candidate,True,,,,16,8,unreviewed,lu:8891fbaa9667b41b35,,[]
5620,S1_core_automatic,A1,active_automatic,600,massacre,massacre,lexeme_candidate,True,,,,19,9,detail_crosslink_quarantined,lu:16a82d10eff4352378,,[]
5621,S1_core_automatic,A1,active_automatic,600,pastime,pastime,lexeme_candidate,True,,,,17,9,detail_crosslink_quarantined,lu:9e02b675844082e949,,[]
5622,S1_core_automatic,A1,active_automatic,600,preview,preview,lexeme_candidate,True,,,,13,8,conflicting_variants,lu:d72fdde747e0db41cb,,[]
5623,S1_core_automatic,A1,active_automatic,600,psychiatric,psychiatric,lexeme_candidate,True,,,,11,8,unreviewed,lu:19f3d7145334207f61,,[]
5624,S1_core_automatic,A1,active_automatic,600,recording,recording,lexeme_candidate,True,,,,12,8,unreviewed,lu:68dafcb5ec179bdc67,,"[{""canonicalForm"":""record"",""confidence"":""medium"",""lexicalUnitId"":""lu:e2e8116fe9e1ef1d54"",""relationType"":""present_participle""}]"
5625,S1_core_automatic,A1,active_automatic,600,surprising,surprising,lexeme_candidate,True,,,,10,10,unreviewed,lu:d6339926a014a2a193,,"[{""canonicalForm"":""surprise"",""confidence"":""medium"",""lexicalUnitId"":""lu:cccb0b4f4c4c1c5560"",""relationType"":""present_participle""}]"
5626,S1_core_automatic,A1,active_automatic,600,traverse,traverse,lexeme_candidate,True,,,,16,8,conflicting_variants,lu:9dbffeb7ce67efaf54,,[]
5627,S1_core_automatic,A1,active_automatic,600,velocity,velocity,lexeme_candidate,True,,,,19,10,unreviewed,lu:e5c87f32cf8a496d65,,[]
5628,S1_core_automatic,A1,active_automatic,600,wagon,wagon,lexeme_candidate,True,,,,15,10,conflicting_variants,lu:fb5f5d994ac8a6179b,,[]
5629,S1_core_automatic,A1,active_automatic,599,clown,clown,lexeme_candidate,True,,,,9,9,unreviewed,lu:09e94dadb0bf287d36,,[]
5630,S1_core_automatic,A1,active_automatic,599,communal,communal,lexeme_candidate,True,,,,13,9,unreviewed,lu:919e6e922e48e59aff,,[]
5631,S1_core_automatic,A1,active_automatic,599,confused,confused,lexeme_candidate,True,,,,11,9,unreviewed,lu:4688d28c4942801368,,"[{""canonicalForm"":""confuse"",""confidence"":""medium"",""lexicalUnitId"":""lu:a109ae3da426bc5901"",""relationType"":""past_or_participle""}]"
5632,S1_core_automatic,A1,active_automatic,599,contingent,contingent,lexeme_candidate,True,,,,15,9,unreviewed,lu:09492f9307036aed7d,,[]
5633,S1_core_automatic,A1,active_automatic,599,diabetes,diabetes,lexeme_candidate,True,,,,15,9,unreviewed,lu:e300b26e69a1db3b88,,[]
5634,S1_core_automatic,A1,active_automatic,599,discord,discord,lexeme_candidate,True,,,,15,9,unreviewed,lu:6ec172b6cc71eadc73,,[]
5635,S1_core_automatic,A1,active_automatic,599,dissipate,dissipate,lexeme_candidate,True,,,,19,9,unreviewed,lu:a54ceeba6318fe78e2,,[]
5636,S1_core_automatic,A1,active_automatic,599,enrol,enrol,lexeme_candidate,True,,,,19,9,unreviewed,lu:077cb769f952749d8d,,[]
5637,S1_core_automatic,A1,active_automatic,599,frightening,frightening,lexeme_candidate,True,,,,10,9,unreviewed,lu:ceda0c0d463488cce5,,"[{""canonicalForm"":""frighten"",""confidence"":""medium"",""lexicalUnitId"":""lu:f4ee97ceba4fbaca58"",""relationType"":""present_participle""}]"
5638,S1_core_automatic,A1,active_automatic,599,hidden,hidden,lexeme_candidate,True,,,,11,9,conflicting_variants,lu:7d2eb5c20c456ab05e,,[]
5639,S1_core_automatic,A1,active_automatic,599,hormone,hormone,lexeme_candidate,True,,,,21,9,unreviewed,lu:2250e96183f94afa07,,[]
5640,S1_core_automatic,A1,active_automatic,599,intuition,intuition,lexeme_candidate,True,,,,19,9,unreviewed,lu:0b3457211855122808,,[]
5641,S1_core_automatic,A1,active_automatic,599,long-term,long-term,lexeme_candidate,True,,,,9,7,unreviewed,lu:dea4187e85f1a7affe,,[]
5642,S1_core_automatic,A1,active_automatic,599,longitude,longitude,lexeme_candidate,True,,,,18,9,unreviewed,lu:88ff91f30f3bd658a7,,[]
5643,S1_core_automatic,A1,active_automatic,599,math,math,lexeme_candidate,True,,,,8,7,conflicting_variants,lu:4a3121bbd8d5596a1e,,[]
5644,S1_core_automatic,A1,active_automatic,599,mosque,mosque,lexeme_candidate,True,,,,11,9,unreviewed,lu:6c61449217d9b8fe1e,,[]
5645,S1_core_automatic,A1,active_automatic,599,photocopy,photocopy,lexeme_candidate,True,,,,13,9,unreviewed,lu:932efa6b77cd3f05c1,,[]
5646,S1_core_automatic,A1,active_automatic,599,post office,post office,multiword_expression,True,,,,12,8,unreviewed,lu:ed51aa86c2f2c2ba51,lu:2879ce2cf0429edffc;lu:6e013a1e95f94c709e,[]
5647,S1_core_automatic,A1,active_automatic,599,pottery,pottery,lexeme_candidate,True,,,,19,9,unreviewed,lu:223455d7bc1e9c6a5a,,[]
5648,S1_core_automatic,A1,active_automatic,599,proficiency,proficiency,lexeme_candidate,True,,,,21,9,unreviewed,lu:a1cc156cc65852fb1e,,[]
5649,S1_core_automatic,A1,active_automatic,599,rehearse,rehearse,lexeme_candidate,True,,,,13,9,unreviewed,lu:a1e191f496cd04a812,,[]
5650,S1_core_automatic,A1,active_automatic,599,remnant,remnant,lexeme_candidate,True,,,,20,10,detail_crosslink_quarantined,lu:1f71449fd993025fd4,,[]
5651,S1_core_automatic,A1,active_automatic,599,scarcely,scarcely,lexeme_candidate,True,,,,21,9,conflicting_variants,lu:90b740976b3e5dbdd1,,[]
5652,S1_core_automatic,A1,active_automatic,599,stark,stark,lexeme_candidate,True,,,,11,9,unreviewed,lu:a0274f53324a8195a7,,[]
5653,S1_core_automatic,A1,active_automatic,599,statesman,statesman,lexeme_candidate,True,,,,20,9,conflicting_variants,lu:3acba28ff2081fee2d,,[]
5654,S1_core_automatic,A1,active_automatic,599,stout,stout,lexeme_candidate,True,,,,18,9,unreviewed,lu:3cebef8f559e4c1b7b,,[]
5655,S1_core_automatic,A1,active_automatic,599,underlie,underlie,lexeme_candidate,True,,,,21,9,unreviewed,lu:6cd692e4c8dea3ff8b,,[]
5656,S1_core_automatic,A1,active_automatic,598,analogous,analogous,lexeme_candidate,True,,,,15,8,unreviewed,lu:3f70589d59517ee032,,[]
5657,S1_core_automatic,A1,active_automatic,598,archaeologist,archaeologist,lexeme_candidate,True,,,,18,8,unreviewed,lu:26284b3dba0b39ea5a,,[]
5658,S1_core_automatic,A1,active_automatic,598,bald,bald,lexeme_candidate,True,,,,14,8,unreviewed,lu:97ad2cbd2995493c17,,[]
5659,S1_core_automatic,A1,active_automatic,598,bent,bent,lexeme_candidate,True,,,,10,8,unreviewed,lu:ca5bc41da73b870f2f,,[]
5660,S1_core_automatic,A1,active_automatic,598,catalog,catalog,lexeme_candidate,True,,,,18,10,conflicting_variants,lu:1e8c1e58c0260db64e,,[]
5661,S1_core_automatic,A1,active_automatic,598,chancellor,chancellor,lexeme_candidate,True,,,,21,8,unreviewed,lu:2771accfc1ce2256a9,,[]
5662,S1_core_automatic,A1,active_automatic,598,complementary,complementary,lexeme_candidate,True,,,,21,8,unreviewed,lu:ffeb3bcfaec4015321,,[]
5663,S1_core_automatic,A1,active_automatic,598,demographic,demographic,lexeme_candidate,True,,,,21,8,unreviewed,lu:6f591ae72ecf112ccb,,[]
5664,S1_core_automatic,A1,active_automatic,598,derivative,derivative,lexeme_candidate,True,,,,18,10,unreviewed,lu:8449d010d313110806,,[]
5665,S1_core_automatic,A1,active_automatic,598,destiny,destiny,lexeme_candidate,True,,,,16,8,unreviewed,lu:94b46a0a29e7428fd7,,[]
5666,S1_core_automatic,A1,active_automatic,598,eloquent,eloquent,lexeme_candidate,True,,,,18,10,unreviewed,lu:fd2d9b5f45aef07803,,[]
5667,S1_core_automatic,A1,active_automatic,598,enlist,enlist,lexeme_candidate,True,,,,12,10,unreviewed,lu:df8820fd812ca58b0a,,[]
5668,S1_core_automatic,A1,active_automatic,598,eradicate,eradicate,lexeme_candidate,True,,,,18,10,unreviewed,lu:b16bb25b4c64e954a5,,[]
5669,S1_core_automatic,A1,active_automatic,598,exceedingly,exceedingly,lexeme_candidate,True,,,,18,10,conflicting_variants,lu:15da8dd959e8dd8031,,[]
5670,S1_core_automatic,A1,active_automatic,598,foul,foul,lexeme_candidate,True,,,,15,8,unreviewed,lu:f4e5839bc11b231f34,,[]
5671,S1_core_automatic,A1,active_automatic,598,incredibly,incredibly,lexeme_candidate,True,,,,12,8,unreviewed,lu:73caa879040c47ae84,,[]
5672,S1_core_automatic,A1,active_automatic,598,industrious,industrious,lexeme_candidate,True,,,,17,8,unreviewed,lu:27dc33b2ef973f1028,,[]
5673,S1_core_automatic,A1,active_automatic,598,jewellery,jewellery,lexeme_candidate,True,,,,11,9,detail_crosslink_quarantined,lu:cb5c506b74f3f2fc55,,[]
5674,S1_core_automatic,A1,active_automatic,598,legislate,legislate,lexeme_candidate,True,,,,12,10,unreviewed,lu:79387f0a3a7c7b9e2c,,[]
5675,S1_core_automatic,A1,active_automatic,598,majestic,majestic,lexeme_candidate,True,,,,15,8,unreviewed,lu:09eb94414b4aa1b91e,,[]
5676,S1_core_automatic,A1,active_automatic,598,majesty,majesty,lexeme_candidate,True,,,,14,8,unreviewed,lu:fec4ad22959d4cdaf3,,[]
5677,S1_core_automatic,A1,active_automatic,598,menace,menace,lexeme_candidate,True,,,,21,8,unreviewed,lu:e168339fc950c5dd42,,[]
5678,S1_core_automatic,A1,active_automatic,598,mimic,mimic,lexeme_candidate,True,,,,17,8,unreviewed,lu:ffa72cf10ac49fe8c5,,[]
5679,S1_core_automatic,A1,active_automatic,598,mum,mum,lexeme_candidate,True,,,,11,8,unreviewed,lu:573c5fc8b04a8d7ebc,,[]
5680,S1_core_automatic,A1,active_automatic,598,of course,of course,multiword_expression,True,,,,12,7,unreviewed,lu:7dd59eee4fe61b4894,lu:76646312d20dfe302e;lu:1e42e8b0e72eef10d8,[]
5681,S1_core_automatic,A1,active_automatic,598,outspoken,outspoken,lexeme_candidate,True,,,,12,8,unreviewed,lu:d5e00846fb1096ecad,,[]
5682,S1_core_automatic,A1,active_automatic,598,paw,paw,lexeme_candidate,True,,,,14,9,detail_crosslink_quarantined,lu:9c50fc7beb9b24aa36,,[]
5683,S1_core_automatic,A1,active_automatic,598,prehistoric,prehistoric,lexeme_candidate,True,,,,12,8,unreviewed,lu:6fe5e0793b4570a2cf,,[]
5684,S1_core_automatic,A1,active_automatic,598,quarantine,quarantine,lexeme_candidate,True,,,,20,9,detail_crosslink_quarantined,lu:1ae58fbb452742b226,,[]
5685,S1_core_automatic,A1,active_automatic,598,specialty,specialty,lexeme_candidate,True,,,,15,8,unreviewed,lu:181bb269562d2ec10b,,[]
5686,S1_core_automatic,A1,active_automatic,598,strife,strife,lexeme_candidate,True,,,,16,9,detail_crosslink_quarantined,lu:915dafe756d8f59e8c,,[]
5687,S1_core_automatic,A1,active_automatic,598,virgin,Virgin,lexeme_candidate,True,,,,15,8,unreviewed,lu:3eeb3c2b4a96105756,,[]
5688,S1_core_automatic,A1,active_automatic,598,weld,weld,lexeme_candidate,True,,,,18,10,conflicting_variants,lu:0395c319a646fa0bdc,,[]
5689,S1_core_automatic,A1,active_automatic,597,automate,automate,lexeme_candidate,True,,,,14,9,unreviewed,lu:35e7e8b4196c58bef6,,[]
5690,S1_core_automatic,A1,active_automatic,597,bypass,bypass,lexeme_candidate,True,,,,20,8,detail_crosslink_quarantined,lu:09c73058d185fdc498,,[]
5691,S1_core_automatic,A1,active_automatic,597,caterpillar,caterpillar,lexeme_candidate,True,,,,11,9,unreviewed,lu:144c26a9390fd28988,,[]
5692,S1_core_automatic,A1,active_automatic,597,eject,eject,lexeme_candidate,True,,,,18,9,conflicting_variants,lu:4b916b954d70fabec5,,[]
5693,S1_core_automatic,A1,active_automatic,597,envision,envision,lexeme_candidate,True,,,,18,9,unreviewed,lu:555ece9eb625b10538,,[]
5694,S1_core_automatic,A1,active_automatic,597,factual,factual,lexeme_candidate,True,,,,12,9,unreviewed,lu:a8474088a53190aaba,,[]
5695,S1_core_automatic,A1,active_automatic,597,ideological,ideological,lexeme_candidate,True,,,,12,9,unreviewed,lu:9e91eef498a9bd5e97,,[]
5696,S1_core_automatic,A1,active_automatic,597,intangible,intangible,lexeme_candidate,True,,,,18,9,unreviewed,lu:5c81c1778fe656ddc8,,[]
5697,S1_core_automatic,A1,active_automatic,597,massage,massage,lexeme_candidate,True,,,,11,9,unreviewed,lu:581606e72171178d0e,,[]
5698,S1_core_automatic,A1,active_automatic,597,muscular,muscular,lexeme_candidate,True,,,,14,9,unreviewed,lu:8bbde27744c10901dd,,[]
5699,S1_core_automatic,A1,active_automatic,597,purely,purely,lexeme_candidate,True,,,,9,9,unreviewed,lu:6a85ed62401a1e96cd,,[]
5700,S1_core_automatic,A1,active_automatic,597,quantum,quantum,lexeme_candidate,True,,,,12,9,unreviewed,lu:832b4d0fb403d647b4,,[]
5701,S1_core_automatic,A1,active_automatic,597,rehearsal,rehearsal,lexeme_candidate,True,,,,18,9,unreviewed,lu:fee4b090f5bf190b52,,[]
5702,S1_core_automatic,A1,active_automatic,597,sediment,sediment,lexeme_candidate,True,,,,18,9,unreviewed,lu:d5137ca088f3a422fe,,[]
5703,S1_core_automatic,A1,active_automatic,597,spacecraft,spacecraft,lexeme_candidate,True,,,,20,9,conflicting_variants,lu:2982aabb4a39decc9c,,[]
5704,S1_core_automatic,A1,active_automatic,597,stagnant,stagnant,lexeme_candidate,True,,,,18,9,unreviewed,lu:5b4f40850eb2f476c6,,[]
5705,S1_core_automatic,A1,active_automatic,597,stalk,stalk,lexeme_candidate,True,,,,18,9,unreviewed,lu:2f7356719a330ead4c,,[]
